resultId,raceId,teamId,driverId,grid,positionText,points,year,round
145,9,5,55,11,5,10,2023,8
146,9,9,11,12,6,9,2023,8
147,9,10,23,9,7,6,2023,8
148,9,3,31,6,8,4,2023,8
149,9,4,18,16,9,2,2023,8
150,9,1,77,14,10,1,2023,8
151,9,7,81,8,11,0,2023,8
152,9,3,10,15,12,0,2023,8
153,9,7,4,7,13,0,2023,8
154,9,2,22,19,14,0,2023,8
155,9,6,27,5,15,0,2023,8
156,9,1,24,20,16,0,2023,8
157,9,6,20,13,17,0,2023,8
158,9,2,21,17,18,0,2023,8
159,9,8,63,4,Ret,0,2023,8
160,9,10,2,18,Ret,0,2023,8
161,11,9,1,1,1,26,2023,9
162,11,5,16,2,2,18,2023,9
163,11,9,11,15,3,15,2023,9
164,11,7,4,4,4,12,2023,9
165,11,4,14,7,5,10,2023,9
166,11,5,55,3,6,8,2023,9
167,11,8,63,11,7,6,2023,9
168,11,8,44,5,8,4,2023,9
169,11,4,18,6,9,2,2023,9
170,11,3,10,9,10,1,2023,9
171,11,10,23,10,11,0,2023,9
172,11,1,24,17,12,0,2023,9
173,11,10,2,18,13,0,2023,9
174,11,3,31,12,14,0,2023,9
175,11,1,77,14,15,0,2023,9
176,11,7,81,13,16,0,2023,9
177,11,2,21,PL,17,0,2023,9
178,11,6,20,PL,18,0,2023,9
179,11,2,22,16,19,0,2023,9
180,11,6,27,8,Ret,0,2023,9
181,12,9,1,1,1,26,2023,10
182,12,7,4,2,2,18,2023,10
183,12,8,44,7,3,15,2023,10
184,12,7,81,3,4,12,2023,10
185,12,8,63,6,5,10,2023,10
186,12,9,11,15,6,8,2023,10
187,12,4,14,9,7,6,2023,10
188,12,10,23,8,8,4,2023,10
189,12,5,16,4,9,2,2023,10
190,12,5,55,5,10,1,2023,10
191,12,10,2,14,11,0,2023,10
192,12,1,77,20,12,0,2023,10
193,12,6,27,11,13,0,2023,10
194,12,4,18,12,14,0,2023,10
195,12,1,24,17,15,0,2023,10
196,12,2,22,16,16,0,2023,10
197,12,2,21,18,17,0,2023,10
198,12,3,10,10,18,0,2023,10
